ID,Size (KB),Title,Authors,Author Birth Years,Languages,LCC Subjects
pg10002,299,The House on the Borderland,"Hodgson, William Hope",1877,en,PR
pg10003,372,"My First Years as a Frenchwoman, 1876-1879","Waddington, Mary King",1833,en,DC
pg10004,295,The Warriors,"Lindsay, Anna Robertson Brown",1864,en,BR
pg10005,424,"A Voyage to the Moon
With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775,en,PS
pg10006,93,La Fiammetta,"Boccaccio, Giovanni",1313,en,PQ
pg10007,175,Carmilla,"Le Fanu, Joseph Sheridan",1814,en,PR
pg10009,492,"Wild Northern Scenes
Or, Sporting Adventures with the Rifle and the Rod","Hammond, S. H. (Samuel H.)",1809,en,SK
pg10010,84,The Eulogies of Howard: A Vision,"Hayley, William",1745,en,HV
pg10012,548,The Mountains of California,"Muir, John",1838,en,QH F850.5
pg1001,236,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265,en,PQ
pg10021,311,Tenterhooks,"Leverson, Ada",1862,en,PR
pg10023,209,There's Pippins and Cheese to Come,"Brooks, Charles S. (Charles Stephen)",1878,en,PS
pg10025,395,Gaslight Sonatas,"Hurst, Fannie",1889,en,PS
pg10027,428,"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",1867,en,PZ
pg10029,308,The Hunt Ball Mystery,"Magnay, William, Sir",1855,en,PR
pg1002,227,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265,en,PQ
pg10030,573,"The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide
An Autobiography",Buffalo Bill,1846,en,F590.3
pg10031,400,"The Complete Poetical Works of Edgar Allan Poe
Including Essays on Poetry","Poe, Edgar Allan",1809,en,PS
pg10037,386,A Beautiful Possibility,"Black, Edith Ferguson",1857,en,PS
pg10038,874,The Magnetic North,"Robins, Elizabeth",1862,en,PS
pg1003,237,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265,en,PQ
pg10041,439,The Rivet in Grandfather's Neck: A Comedy of Limitations,"Cabell, James Branch",1879,en,PS
